
TimeEdit,Linköpings universitet
"MT2.a, CIV ING UTB MEDIETEKNIK",2021-11-02 - 2022-01-23,
Startdatum,Starttid,Slutdatum,Sluttid,Kurs,Undervisningstyp,Lokal,Lärare,Studentgrupp,Fria grupper,Information till student,URL 
2021-11-02,08:15,2021-11-02,10:00,TNA007,Lektion,TP51,Olof Svensson,MT2.a,,,
2021-11-02,13:15,2021-11-02,15:00,TNG033,Föreläsning,,Aida Nordman,"ED3,MT2",,Distance: Fö 1,
2021-11-03,08:15,2021-11-03,10:00,TNA007,Föreläsning,TP1,Olof Svensson,"ED2,MT2",,,
2021-11-03,13:15,2021-11-03,17:00,TNM040,Grupparbete,"TP4003,TP4005","Camilla Forsell,Jakob Unnebäck,Lovisa Hassler",MT2,,,
2021-11-04,08:15,2021-11-04,10:00,TNG033,Föreläsning,,Aida Nordman,"ED3,MT2",,Distance: Fö 2,
2021-11-05,13:15,2021-11-05,15:00,TNA007,Lektion,TP51,Olof Svensson,MT2.a,,,
2021-11-05,15:15,2021-11-05,17:00,TNG033,Föreläsning,,Aida Nordman,"ED3,MT2",,Distance: Fö 3,
2021-11-08,10:15,2021-11-08,12:00,TNG033,Föreläsning,,Aida Nordman,"ED3,MT2",,Distance: Fö 4,
2021-11-08,13:15,2021-11-08,15:00,TNA007,Föreläsning,TP1,Olof Svensson,"ED2,MT2",,,
2021-11-09,08:15,2021-11-09,10:00,TNA007,Lektion,TP51,Olof Svensson,MT2.a,,,
2021-11-09,13:15,2021-11-09,15:00,TNG033,Föreläsning,,Aida Nordman,"ED3,MT2",,Distance: Fö 5,
2021-11-10,10:15,2021-11-10,12:00,TNA007,Föreläsning,TP1,Olof Svensson,"ED2,MT2",,,
2021-11-10,13:15,2021-11-10,15:00,TNG033,Föreläsning,,Aida Nordman,"ED3,MT2",,Distance: Fö 6,
2021-11-11,08:15,2021-11-11,10:00,TNG033,Frågestund,,Aida Nordman,"ED3,MT2",,Distance: Office hours: via Zoom,
2021-11-11,13:15,2021-11-11,17:00,TNM040,Grupparbete,"TP5021,TP5023","Camilla Forsell,Jakob Unnebäck,Lovisa Hassler",MT2,,,
2021-11-12,08:15,2021-11-12,10:00,TNA007,Lektion,TP51,Olof Svensson,MT2.a,,,
2021-11-12,13:15,2021-11-12,17:00,TNG033,Laboration,"K4504,K4507,K5421,TP4003,TP4004,TP4005,TP5016",Aida Nordman,"ED3,MT2",,Distance: Lab1/HA,
2021-11-15,10:15,2021-11-15,12:00,TNG033,Föreläsning,,Aida Nordman,"ED3,MT2",,Distance: Fö 7,
2021-11-15,13:15,2021-11-15,15:00,TNA007,Föreläsning,TP1,Olof Svensson,"ED2,MT2",,,
2021-11-16,08:15,2021-11-16,10:00,TNA007,Lektion,TP51,Olof Svensson,MT2.a,,,
2021-11-16,13:15,2021-11-16,15:00,TNG033,Föreläsning,,Aida Nordman,"ED3,MT2",,Distance: Fö 8,
2021-11-18,08:15,2021-11-18,10:00,TNG033,Frågestund,,Aida Nordman,"ED3,MT2",,Distance: Office hours: via Zoom,
2021-11-18,13:15,2021-11-18,17:00,TNM040,Grupparbete,"TP4003,TP4004","Camilla Forsell,Jakob Unnebäck,Lovisa Hassler",MT2,,,
2021-11-19,08:00,2021-11-19,10:00,TNA007,Dugga,,,"ED2,MT2",,,
2021-11-19,13:15,2021-11-19,17:00,TNG033,Redovisning,,Aida Nordman,"ED3,MT2",,Distance: Lab1/RE,
2021-11-22,10:15,2021-11-22,12:00,TNG033,Föreläsning,,Aida Nordman,"ED3,MT2",,Distance: Fö 9,
2021-11-22,13:15,2021-11-22,15:00,TNA007,Föreläsning,TP1,Olof Svensson,"ED2,MT2",,,
2021-11-23,08:15,2021-11-23,10:00,TNA007,Lektion,TP51,Olof Svensson,MT2.a,,,
2021-11-23,13:15,2021-11-23,15:00,TNG033,Föreläsning,,Aida Nordman,"ED3,MT2",,Distance: Fö 10,
2021-11-24,13:15,2021-11-24,17:00,TNM040,Grupparbete,"TP5021,TP5023","Camilla Forsell,Jakob Unnebäck,Lovisa Hassler",MT2,,,
2021-11-25,08:15,2021-11-25,10:00,TNG033,Frågestund,,Aida Nordman,"ED3,MT2",,Distance: Office hours: via Zoom,
2021-11-25,10:15,2021-11-25,12:00,TNA007,Föreläsning,TP1,Olof Svensson,"ED2,MT2",,,
2021-11-26,10:15,2021-11-26,12:00,TNA007,Lektion,TP51,Olof Svensson,MT2.a,,,
2021-11-26,13:15,2021-11-26,17:00,TNG033,Laboration,"K4504,K5421,TP5015,TP5016,TP5022,TP5023",Aida Nordman,"ED3,MT2",,Distance: Lab2/HA,
2021-11-29,10:15,2021-11-29,12:00,TNG033,Föreläsning,,Aida Nordman,"ED3,MT2",,Distance: Fö 11,
2021-11-29,13:15,2021-11-29,15:00,TNA007,Föreläsning,TP2,Olof Svensson,"ED2,MT2",,,
2021-11-30,08:15,2021-11-30,10:00,TNA007,Lektion,TP51,Olof Svensson,MT2.a,,,
2021-11-30,13:15,2021-11-30,15:00,TNG033,Föreläsning,,Aida Nordman,"ED3,MT2",,Distance: Fö 12,
2021-12-01,13:15,2021-12-01,17:00,TNM040,Grupparbete,"K4507,TP5021","Camilla Forsell,Jakob Unnebäck,Lovisa Hassler",MT2,,,
2021-12-02,08:15,2021-12-02,10:00,TNG033,Frågestund,,Aida Nordman,"ED3,MT2",,Distance: Office hours: via Zoom,
2021-12-02,10:15,2021-12-02,12:00,TNA007,Föreläsning,TP2,Olof Svensson,"ED2,MT2",,,
2021-12-03,08:15,2021-12-03,10:00,TNA007,Lektion,TP51,Olof Svensson,MT2.a,,,
2021-12-03,13:15,2021-12-03,17:00,TNG033,Redovisning,,Aida Nordman,"ED3,MT2",,Distance: Lab2/RE,
2021-12-06,10:15,2021-12-06,12:00,TNG033,Föreläsning,,Aida Nordman,"ED3,MT2",,Distance: Fö 13,
2021-12-06,13:15,2021-12-06,15:00,TNA007,Föreläsning,TP2,Olof Svensson,"ED2,MT2",,,
2021-12-07,08:15,2021-12-07,10:00,TNA007,Lektion,TP51,Olof Svensson,MT2.a,,,
2021-12-08,08:15,2021-12-08,10:00,TNA007,Föreläsning,TP2,Olof Svensson,"ED2,MT2",,,
2021-12-09,08:15,2021-12-09,10:00,TNG033,Frågestund,,Aida Nordman,"ED3,MT2",,Distance: Office hours: via Zoom,
2021-12-09,13:15,2021-12-09,17:00,TNM040,Grupparbete,"TP4003,TP4004","Camilla Forsell,Jakob Unnebäck,Lovisa Hassler",MT2,,,
2021-12-10,08:15,2021-12-10,10:00,TNA007,Lektion,TP51,Olof Svensson,MT2.a,,,
2021-12-10,13:15,2021-12-10,17:00,TNG033,Laboration,"TP4003,TP4005,TP5015,TP5016,TP5021,TP5022,TP5023",Aida Nordman,"ED3,MT2",,Distance: Lab3/HA,
2021-12-13,13:15,2021-12-13,15:00,TNA007,Föreläsning,TP2,Olof Svensson,"ED2,MT2",,,
2021-12-14,13:15,2021-12-14,15:00,TNG033,Information,,Aida Nordman,"ED3,MT2",,Distance: Info2: computer exam,
2021-12-15,08:00,2021-12-15,10:00,TNA007,Dugga,,,"ED2,MT2",,,
2021-12-15,13:15,2021-12-15,17:00,TNM040,Seminarium,K4*,"Camilla Forsell,Jakob Unnebäck,Lovisa Hassler",MT2,,,
2021-12-16,08:15,2021-12-16,10:00,TNG033,Frågestund,,Aida Nordman,"ED3,MT2",,Distance: Office hours: via Zoom,
2021-12-17,13:15,2021-12-17,17:00,TNG033,Redovisning,,Aida Nordman,"ED3,MT2",,Distance: Lab3/RE,
2021-12-21,13:15,2021-12-21,17:00,TNG033,Redovisning,,Aida Nordman,"ED3,MT2",,Distance: Lab/RE: extra,
2022-01-17,15:15,2022-01-17,17:00,TNG032,Föreläsning,TP2,Zhuangwei Liu,"ED2,KTS2,MT2",,,
2022-01-18,08:15,2022-01-18,10:00,TNM061,Föreläsning,K3,Martin Falk,"CS1,MT2",,,
2022-01-18,10:15,2022-01-18,12:00,TNG032,Lektion,TP51,Zhuangwei Liu,MT2.a,,,
2022-01-19,08:15,2022-01-19,10:00,TNG032,Föreläsning,TP1,Zhuangwei Liu,"ED2,KTS2,MT2",,,
2022-01-19,10:15,2022-01-19,12:00,TNM061,Föreläsning,K2,Martin Falk,"CS1,MT2",,,
2022-01-20,08:15,2022-01-20,10:00,TNM059,Föreläsning,TP2,Sasan Gooran,MT2,,FÖ 1,
2022-01-20,10:15,2022-01-20,12:00,TNG032,Lektion,TP45,Zhuangwei Liu,MT2.a,,,
